movie_id,director_id
11551,4600
473,6431
544,7395
10513,44763
28966,14643
143,2000
33680,34740
12311,72061
43266,8500
17661,30008
28580,3146
887,10001
33667,2746
11426,4065
654,2746
15919,67451
1725,18868
874,4065
10633,13563
17917,15378
3116,19304
1051,15175
1366,16513
12102,6729
16619,4135
9443,58220
11050,3388
606,2226
746,4956
380,8246
403,5696
11485,1243
466,6349
13820,31493
13597,55983
2108,11505
10014,62020
10072,26713
10131,16938
10160,2042
11284,56891
4488,35475
9725,58712
9728,58712
9730,64195
9731,58822
10225,63550
10281,64722
10283,64735
948,11770
11281,33341
10676,11777
11357,56998
11361,32813
39929,92438
10585,64796
11186,65678
11187,28976
609,10051
11133,18069
10306,33094
9552,15175
11586,19665
11587,57922
941,7187
942,7187
943,7187
927,4600
928,4600
9340,7187
9342,10702
12101,2087
19,68
165,24
196,24
551,7501
16084,47893
3170,5446
346,5026
859,3224
841,5602
11051,1032
242,1776
9769,7270
9424,33316
9835,12936
857,488
10957,67604
9570,47893
13962,11809
11164,54967
10122,8876
9994,15810
14140,15657
10439,65310
11158,8876
9354,4945
9631,37932
9820,17698
14013,12987
1779,17087
10849,1243
678,10146
907,12238
5961,6648
11974,4600
20348,8300
11911,225898
793,5602
9325,57314
10340,11429
10144,15810
10414,18356
10437,65298
12230,11429
