collection_id,name,poster_path,backdrop_path
135179,Sin City Collection,/aGgHxGVmjssn7lw1ZucY5U2gI8K.jpg,/qs200GlvLNIQKUns6AIeLcJWtPT.jpg
221111,S.W.A.T. Collection,/iaBn9GPUik9xwfHIelzTXJi5ClY.jpg,/75To7hSFaAuciz4EXAFfj4LH6Od.jpg
8354,Ice Age Collection,/stQoHvo0q6ZcEkji2Z1wlAxKnDq.jpg,/2Mb92Ssoe1eUecvrCe2pEvgAlmv.jpg
290973,"Crouching Tiger, Hidden Dragon Collection",/8x9ajHWUm5K5rdMRvXe2vhjdLAk.jpg,/fWbparTMpxYDgutCf9LLlcJgFZT.jpg
84,Indiana Jones Collection,/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg,/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg
2366,The Jaws Collection,/fgraZdDCvAtBr0MHczmL6raonHd.jpg,/us13Po7SYoHl9wBNVcz04t0oh7F.jpg
312977,Iron Sky Collection,/naglSR1dCuhpX0MHjSa4Cb9YObm.jpg,
85943,Night at the Museum Collection,/q2nwE0Qi8U6tsU5HDmiWS2D3dSJ.jpg,/fOmqiIXfJmeANciOTCN6WkKbwK.jpg
9744,Fantastic Four Collection,/prObnUSCHIBC8ZjkGo2KHgjkWOo.jpg,/3JFe9AWoKuQWox7HO8HKgYRMOF7.jpg
424202,Trainspotting Collection,/6W9nyZ3Daq4zHkfTRIzNgWg6ai6.jpg,/rIrAfUd5wjkGoDkecNx1aXjGJLu.jpg
261590,Living Dead Collection,/mSJ20RTWWgtt3aTyn1iwNZ9fbYl.jpg,/inPPfnJ9Wzc9rg1MpkPm0P3D9rJ.jpg
87118,Cars Collection,/uq3N2SFj1Y06zA6LzCQPkmBdaaE.jpg,/yPyhZ5OpYs68Bb8u0PZ1tH0QIgd.jpg
52785,xXx Collection,/omRo1Pw4phlELRgYOQ7RyAlccLt.jpg,/g9Q2dmbxd1F2hHB5VslPbqGM1JV.jpg
120794,Batman Collection,/adQxUvQW8HXNsvMG5aj71pHh9T.jpg,/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg
87359,Mission: Impossible Collection,/gwyJPIhCK4Xz2WogeBnhCSQfUek.jpg,/49L0c5utmm0A4BkeDafM9BOhyBT.jpg
8918,The Hills Have Eyes (Reboot) Collection,/gtD46W2GXsdGOFa9jfUT3G0OEij.jpg,/A0LX8YBYBZtfj0gR5Pkgz87cmcb.jpg
52984,National Treasure Collection,/z5EIRaI8XS0brelYwDFEVlxcpzM.jpg,/a0GLVfaDSf5GNZKK5H4FgGCD2VW.jpg
735,Blade Collection,/ltjxGZP6aJrwjl7oOZiiZhFgkF1.jpg,/ev9QybDDzVSahJQdOb71ZuqNVAo.jpg
103573,Sister Act Collection,/m9xbNgB8MrrGOCvc4vjOtSWdqh9.jpg,/5zLMzYgpx2TNmISTk1MnRyRWY9M.jpg
1570,Die Hard Collection,/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg,/5kHVblr87FUScuab1PVSsK692IL.jpg
393379,The Huntsman Collection,/qQ3vWrNroNSJyPGRjsrgzNghTux.jpg,/xZWmMCp9DwKlcu2yEzVFN7ggpGu.jpg
